user_id,fullname,abstracts,conflicts
127,Pauline Bezivin Frere,"Though adolescence is a time of emerging sex differences in emotions, sex-related differences in the anatomy of the maturing brain has been under-explored over this period. The aim of this study was to investigate whether puberty and sexual differentiation in brain maturation could explain emotional differences between girls and boys during adolescence. We adapted a dedicated longitudinal pipeline to process structural and diffusion images from 335 typically developing adolescents between 14 and 16 years. We used voxel-based and Regions of Interest approaches to explore sex and puberty effects on brain and behavioral changes during adolescence. Sexual differences in brain maturation were characterized by amygdala and hippocampal volume increase in boys and decrease in girls. These changes were mediating the sexual differences in positive emotional regulation as illustrated by positive attributes increase in boys and decrease in girls. Moreover, the differential maturation rates between the limbic system and the prefrontal cortex highlighted the delayed maturation in boys compared to girls. This is the first study to show the sex effects on the differential cortico/subcortical maturation rates and the interaction between sex and puberty in the limbic system maturation related to positive attributes, reported as being protective from emotional disorders.",Nora C Vetter;Eric Artiges;Irina Filippi;Rubén Miranda;Hélène Vulser;Marie-Laure Paillère-Martinot;Veronika Ziesch;Patricia Conrod;Anna Cattrell;Henrik Walter;Jurgen Gallinat;Uli Bromberg;Sarah Rodehacke;Eva Menningen;Vincent Frouin;Dimitri Papadopoulos-Orfanos;Argyris Stringaris;Jani Penttilä;Betteke van Noort;Yvonne Grimmer;Gunter Schumann;Michael N Smolka;Jean-Luc Martinot;Hervé Lemaître;
128,Dennis M Hedderich,"Premature birth bears an increased risk for aberrant brain development concerning its structure and function. Cortical complexity (CC) expresses the fractal dimension of the brain surface and changes during neurodevelopment. We hypothesized that CC is altered after premature birth and associated with long-term cognitive development. One-hundred-and-one very premature-born adults (gestational age <32 weeks and/or birth weight <1500 g) and 111 term-born adults were assessed by structural MRI and cognitive testing at 27 years of age. CC was measured based on MRI by vertex-wise estimation of fractal dimension. Cognitive performance was measured based on Griffiths-Mental-Development-Scale (at 20 months) and Wechsler-Adult-Intelligence-Scales (at 27 years). In premature-born adults, CC was decreased bilaterally in large lateral temporal and medial parietal clusters. Decreased CC was associated with lower gestational age and birth weight. Furthermore, decreased CC in the medial parietal cortices was linked with reduced full-scale IQ of premature-born adults and mediated the association between cognitive development at 20 months and IQ in adulthood. Results demonstrate that CC is reduced in very premature-born adults in temporoparietal cortices, mediating the impact of prematurity on impaired cognitive development. These data indicate functionally relevant long-term alterations in the brain's basic geometry of cortical organization in prematurity.",Josef G Bäuml;Aurore Menegaux;Mihai Avram;Marcel Daamen;Claus Zimmer;Peter Bartmann;Lukas Scheef;Henning Boecker;Dieter Wolke;Christian Gaser;Christian Sorg
129,Joana Carvalho,"The characterization of receptive field (RF) properties is fundamental to understanding the neural basis of sensory and cognitive behaviour. The combination of non-invasive imaging, such as fMRI, with biologically inspired neural modelling has enabled the estimation of population RFs directly in humans. However, current approaches require making numerous a priori assumptions, so these cannot reveal unpredicted properties, such as fragmented RFs or subpopulations. This is a critical limitation in studies on adaptation, pathology or reorganization. Here, we introduce micro-probing (MP), a technique for fine-grained and largely assumption free characterization of multiple pRFs within a voxel. It overcomes many limitations of current approaches by enabling detection of unexpected RF shapes, properties and subpopulations, by enhancing the spatial detail with which we analyze the data. MP is based on tiny, fixed-size, Gaussian models that efficiently sample the entire visual space and create fine-grained probe maps. Subsequently, we derived population receptive fields (pRFs) from these maps. We demonstrate the scope of our method through simulations and by mapping the visual fields of healthy participants and of a patient group with highly abnormal RFs due to a congenital pathway disorder. Without using specific stimuli or adapted models, MP mapped the bilateral pRFs characteristic of observers with albinism. In healthy observers, MP revealed that voxels may capture the activity of multiple subpopulations RFs that sample distinct regions of the visual field. Thus, MP provides a versatile framework to visualize, analyze and model, without restrictions, the diverse RFs of cortical subpopulations in health and disease.",Azzurra Invernizzi;Khazar Ahmadi;Michael B Hoffmann;Remco J Renken;Frans W Cornelissen
130,Luiz Otávio Lourenço,"Mammals airways are extensively innervated by the vagus nerve, which controls the airway diameter and bronchial tone. However, very few studies described the respiratory function and lung morphology after vagal section. In the present study, we evaluated the respiratory mechanics after aerosolization of vehicle (to obtain control values), a muscarinic agonist (methacholine), a β2-adrenergic agonist (salbutamol) or a muscarinic antagonist (ipratropium bromide) in intact (Vi) and bilaterally vagotomized (Vx) Swiss male mice. Different group was established for morphometric analyze. The total lung resistance, airway resistance, elastance, compliance, lung tissue damping, lung tissue elastance, and morphological parameters (collagen and elastic fibers) were significantly different in the Vx group compared to the Vi group. Bronchoconstrictor and bronchodilators change the respiratory function of the Vx group. In conclusion, the vagus nerve modulates the lung function in response to bronchoconstriction and bronchodilation, as well as lung architecture of mice.",Ana Carolina Ramos Lopes;Bruno Zavan;Roseli Soncini
131,Fuat Arikan,"BACKGROUND
Since the introduction of endovascular treatment for cerebral aneurysms, hospitals in which subarachnoid hemorrhage is treated show different availability and/or preferences towards both treatment modalities.


OBJECTIVES
The main aim is to evaluate the clinical and angiographic results according to the hospital's treatment preferences applied.


MATERIALS AND METHODS
This study was conducted based on use of the subarachnoid hemorrhage database of the Vascular Pathology Group of the Spanish Neurosurgery Society. Centers were classified into three subtypes according to an index in the relationship between endovascular and surgical treatment as: Endovascular preference, high endovascular preference, and elevated surgical preference. The clinical results and angiographic results were evaluated among the three treatment strategies.


RESULTS
From November 2004 to December 2017, 4282 SAH patients were selected for the study: 630 (14.7%) patients from centers with surgical preference, 2766 (64.6%) from centers with endovascular preference, and 886 (20.7%) from centers with high endovascular preference. The surgical preference group obtained the best angiographic results associated with a greater complete exclusion (OR 1.359; 95%CI 1.025-1.801; p=0.033). The surgical preference subgroup obtained the best outcome at discharge (65.45%), followed by high endovascular preference (61.5%) and endovascular preference (57.8%) (OR 1.359; 95%CI 1.025-1.801; p=0.033).


CONCLUSIONS
In Spain, there is significant variability in aneurysm exclusion treatment in aneurysmal subarachnoid hemorrhage. Surgical centers offer better results for both surgical and endovascular patients. A multidisciplinary approach and the maintenance of an elevated quality of surgical competence could be responsible for these results.",Nacho Errando;Alfonso Lagares;Darío Gándara;Andreu Gabarros;Pablo López-Ojeda;Javier Ibáñez;Marta Brell;Pedro A Gómez;Jose A Fernández-Alén;Jesús Morera;Angel Horcajadas;Vicente Vanaclocha;José L Llácer;Elena Baño-Ruiz;Jesús M Gonçalves-Estella;Ramon Torné;Jhon A Hoyos;Rosario Sarabia;Ignacio Arrese;Gregorio Rodríguez-Boto;Adolfo de la Lama;Jaime Domínguez;Rubén Martín-Láez;David Santamarta-Gómez;Pedro D Delgado-López;Luís Ley-Urzaiz;Olga Mateo;Begoña Iza;Javier Orduna-Martínez;Francisco de Asís Lorente-Muñoz;Fernando Muñoz Hernández;Jone Iglesias;J Vilalta
132,Andromachi Roussopoulou,"BACKROUND & PURPOSE
Perioperative neck hematoma (PNH) requiring re-intervention is an important complication after carotid endarterectomy (CEA). There are limited data regarding the potential risk factors associated with PNH. The aim of this prospective, multicenter study was to document the rate of PNH in symptomatic carotid artery stenosis (sCAS) patients treated with CEA within the first 14 days of cerebrovascular symptom onset and to identify possible predictors of this complication.


METHODS
Patients with non-disabling (mRS ≤ 2) acute ischemic stroke or transient ischemic attack due to sCAS (≥70%) underwent CEA at three stroke-centers during a seven-year period. PNH requiring surgical re-intervention or transfusion during a 30-day follow-up period was determined by the attending surgeon but was also confirmed by an independent neurologist.


RESULTS
A total of 280 patients with sCAS underwent CEA within 14 days of ictus. PNH occurred in 10 cases (3.6%; 95%CI: 1.4%-5.8%). Pretreatment with therapeutic anticoagulation (TA) and history of atrial fibrillation were more prevalent in patients with PNH (20% vs. 3.1%, p= 0.047 & 30% vs. 8.2%, p = 0.05 respectively). Elapsed time between symptom onset and carotid surgery, pretreatment with dual antiplatelets, intravenous thrombolysis or prophylactic anticoagulation were not related to PNH in univariable analyses. Pretreatment with TA was independently associated with higher likelihood of PNH [OR: 10.69, 95%CI (1.74-65.72), p = 0.011] in multivariate logistic regression models adjusting for potential confounders.


CONCLUSION
PNH is uncommon in patients with sCAS that are operated during the first 14 days of ictus. Pretreatment with TA appears to be associated with higher risk of PNH.",Andreas Lazaris;Georgios Tsivgoulis;Christos Krogias;Konstantinos Moulakakis;George S Georgiadis;John D Kakisis;Christina Zompola;Simon Faissner;Lina Palaiodimou;Aikaterini Theodorou;Thomas Hummel;Apostolos Safouris;Paraskevi Matsota;Paschalis Zervas;Socratis Triantafyllou;Constantinos Voumvourakis;Miltos Lazarides;George Geroulakos;Spyros N Vasdekis
133,Dimitrios M Anestis,"BACKGROUND
The Full Outline of Un-Responsiveness Score (FOURs) is a scale for clinical assessment of consciousness that was introduced to overcome disadvantages of the widely accepted Glasgow Coma Scale (GCS).


OBJECTIVE
To carry out a systematic review and critical analysis of the available literature on the clinical application of FOURs and perform a comparison to GCS, in terms of reliability and predictive value.


METHODS
Initial search retrieved a total of 147 papers. After applying strict inclusion criteria and further article selection to overcome data heterogeneity, a statistical comparison of inter-rater reliability, in-hospital mortality and long-term outcome prediction between the two scales in the adult and pediatric population was done.


RESULTS
Even though FOURs is more complicated than GCS, its application remains quite simple. Its reliability, validity and predictive value have been supported by an increasing number of studies, especially in critical care. A statistically significant difference (p = .034) in predicting in-hospital mortality in adults, in favor of FOURs when compared to GCS, was found. However, whether it poses a clinically significant advantage in detecting patients' deterioration and outcome prediction, compared to other scaling systems, remains unclear.


CONCLUSIONS
Further studies are needed to discern the FOURs' clinical usefulness, especially in patients in non-critical condition, with milder disorders of consciousness.",Parmenion P Tsitsopoulos;Christos A Tsonidis;Nikolaos Foroglou
134,Li Ling,"OBJECTIVE
To quantitatively analyze distribution characteristics of sweat gland nerve fibres (SGNF) in normal Chinese individuals for obtaining a reference for early diagnosis of peripheral neuropathy.


PATIENTS AND METHODS
Skin biopsy samples were collected from 192 normal Chinese individuals and divided into six, four and two groups according to anatomic sites, age and gender, respectively. SGNF morphology was observed and SGNF density (SGNFD) was determined.


RESULTS
There was a significant difference in SGNFD among different anatomic sites, age and gender. A degressive tendency was observed from proximal to distal anatomic sites. SGNFD was the lowest in subjects in the 21-40-year-old age group, but was the highest in subjects in the >61-year-old age group. Overall, SGNFD fluctuated with age. SGNFD in males was significantly higher than that in females.


CONCLUSIONS
Distribution characteristics of SGNF in normal individuals may serve as a reference for early diagnosis of nerve fibre damage.",Yongdan Liu;Yifei Sun;Yun Cai;Ye Jiang;Longjian Chen;Long He;Jinwei Xue
135,Seyed Amir Hossein Batouli,"OBJECTIVES
Memory is an important brain function, and is impaired with brain lesions. Resection of the lesion is one solution for that, but presurgical planning (PSP) is needed to guide the surgery for maximum removal of the lesion, as well as maximum preservation of the function. Functional Magnetic Resonance Imaging (fMRI) is one of the best approaches for such a purpose, but performing an fMRI study needs careful consideration of the factors which influence its results. Studies have shown that mental fatigue does have the potential to alter brain functions, and therefore this study aims to identify if mental fatigue should also be considered as a confounding factor when performing an fMRI study, particularly for clinical purposes.


PATIENTS AND METHODS
Using 57 healthy young volunteers, face and word encoding tasks were performed, with half of the participants performing the memory tasks after a set of language tasks and half of them before that.


RESULTS
The results showed that mental fatigue led to increased activity in the bilateral thalamus and caudate in the face encoding task, and in the right thalamus, posterior cingulate and medial temporal lobe in word encoding. In addition, activation was declined with mental fatigue in the left lingual, precuneus, and posterior cingulate gyri in face encoding.


CONCLUSION
This study has shown the importance of the number and sequence of cognitive/mental tasks when performing an fMRI study, which could help to obtain more reliable fMRI maps in clinical applications. This finding is also important for performing research/cognitive studies using fMRI.",Razieh Alemi;Haleh Khoshkhouy Delshad;Mohammad Ali Oghabian
136,Yin Niu,"OBJECTIVE
To report the treatment and outcome of traumatic intracranial aneurysm (TICA) cases at the Southwest Hospital, Army Medical University in China.


PATIENTS AND METHODS
All patients diagnosed with TICA at our institution from January 1, 1977, to October 31, 2018, and meeting the inclusion/exclusion criteria were included in the study. Cases were reported separately for those diagnosed before 1998 and those after 1998.


RESULTS
A total of 25 patients were included in the study. Ten were diagnosed with TICA prior to 1998. Seven of these 10 patients were treated surgically with parent artery sacrificed, including aneurysmectomy, trapping, and bypass. The mean Glasgow Outcome Scale (GOS) score for the 7 patients with surgical treatment was 3.1. Three of the 10 patients died of severe complications, including intracranial infection, delayed bleeding, and deadly injury. After 1998, 15 patients were diagnosed with TICA. Thirteen presented with head trauma and two with iatrogenic TICA following ventricle drainage or sphenoid ridge meningioma resection. Thirteen were treated with endovascular treatment, including coil alone, glue, coil-associated glue, stent alone, stent-assisted coil embolization, one with clipping, and one with conservative treatment. The 13 patients with endovascular treatment achieved a mean GOS score of 4.5. Among the 13 patients, one died from intracranial infection, one suffered recurrence, and one had intraoperative rupture.


CONCLUSION
Although the treatment of TICA has traditionally been surgical, endovascular treatment with different techniques, such as endovascular patch, provides a valuable alternative. Currently, the flow diverter is a popular embolization device and may represent another valid treatment option for TICA.",Sheng Zhou;Jun Tang;Hongping Miao;Gang Zhu;Zhi Chen
137,Elena Pavlidis,"OBJECTIVE
To develop a standardised scheme for assessing normal and abnormal electroencephalography (EEG) features of preterm infants. To assess the interobserver agreement of this assessment scheme.


METHODS
We created a standardised EEG assessment scheme for 6 different post-menstrual age (PMA) groups using 4 EEG categories. Two experts, not involved in the development of the scheme, evaluated this on 24 infants <32 weeks gestational age (GA) using random 2 hour EEG epochs. Where disagreements were found, the features were checked and modified. Finally, the two experts independently evaluated 2 hour EEG epochs from an additional 12 infants <37 weeks GA. The percentage of agreement was calculated as the ratio of agreements to the sum of agreements plus disagreements.


RESULTS
Good agreement in all patients and EEG feature category was obtained, with a median agreement between 80% and 100% over the 4 EEG assessment categories. No difference was found in agreement rates between the normal and abnormal features (p = 0.959).


CONCLUSIONS
We developed a standard EEG assessment scheme for preterm infants that shows good interobserver agreement.


SIGNIFICANCE
This will provide information to Neonatal Intensive Care Unit (NICU) staff about brain activity and maturation. We hope this will prove useful for many centres seeking to use neuromonitoring during critical care for preterm infants.",Rhodri O Lloyd;Vicki Livingstone;John M O'Toole;Peter M Filan;Francesco Pisani;Geraldine B Boylan
138,Robert J Barry,"OBJECTIVE
Global EEG alpha activity is negatively correlated with skin conductance level (SCL), supporting alpha as an inverse marker of arousal. Frequency Principal Components Analysis (f-PCA) of resting EEG amplitude spectra has demonstrated natural components in the alpha band of healthy persons. This is a preliminary exploration of whether such components differ with arousal, possibly underpinning the anomalous ADHD hypoarousal link to reduced alpha.


METHOD
Twenty-seven right-handed undergraduate students participated in three 2 minute blocks of resting eyes-open/closed EEG and SCL: EO1, EC, EO2. For each condition, mean EEG spectra were submitted to separate f-PCAs.


RESULTS
The inverse alpha/SCL relationship was confirmed for band amplitudes. EO had two alpha components; both correlated negatively with SCL. EC alpha contained four components, but only one had a substantial negative correlation with SCL; two had no relationship, suggesting natural alpha components with different non-arousal functionality in EC.


CONCLUSION
Some alpha components in both EC and EO reflect arousal, with other non-arousal components in EC. Our f-PCA approach offers insight into previously-noted alpha anomalies in disorders such as ADHD.


SIGNIFICANCE
This proof of concept demonstration in typical participants may provide the basis for a new research effort in clinical disorders involving atypical arousal patterns.",Frances M De Blasio;Jack S Fogarty;Adam R Clarke
139,Olga V Sysoeva,"OBJECTIVE
Systematically review the abnormalities in event related potential (ERP) recorded in Rett Syndrome (RTT) patients and animals in search of translational biomarkers of deficits related to the particular neurophysiological processes of known genetic origin (MECP2 mutations).


METHODS
Pubmed, ISI Web of Knowledge and BIORXIV were searched for the relevant articles according to PRISMA standards.


RESULTS
ERP components are generally delayed across all sensory modalities both in RTT patients and its animal model, while findings on ERPs amplitude strongly depend on stimulus properties and presentation rate. Studies on RTT animal models uncovered the abnormalities in the excitatory and inhibitory transmission as critical mechanisms underlying the ERPs changes, but showed that even similar ERP alterations in auditory and visual domains have a diverse neural basis. A range of novel approaches has been developed in animal studies bringing along the meaningful neurophysiological interpretation of ERP measures in RTT patients.


CONCLUSIONS
While there is a clear evidence for sensory ERPs abnormalities in RTT, to further advance the field there is a need in a large-scale ERP studies with the functionally-relevant experimental paradigms.


SIGNIFICANCE
The review provides insights into domain-specific neural basis of the ERP abnormalities and promotes clinical application of the ERP measures as the non-invasive functional biomarkers of RTT pathophysiology.",Kirill Smirnov;Tatiana A Stroganova
140,Chad A Purnell,"OBJECTIVE
Up to 10% of midline nasal dermoid cysts have intracranial extension. Previous techniques of excision include frontal and frontonasal craniotomies via a coronal approach, combined with a direct cutaneous excision of the dermoid cyst. While the coronal incision allows for wide visualization, it carries significant risks of transfusion, blood loss, and scarring. The authors present an alternative technique in which access is gained through a midline extension of the dermoid cyst excision that provides direct access for a keyhole frontal craniotomy.


METHODS
The authors utilize a nasal bone osteotomy, pericranial flap, and keyhole-type craniotomy performed through a nasal midline incision for the treatment of nasal dermoid cysts with intracranial extension. They performed a retrospective chart review of all patients with nasal dermoid cysts treated at the Ann & Robert H. Lurie Children's Hospital of Chicago from 2009 to 2017. Patient demographic data, operative data, and in- and outpatient complication data were collected.


RESULTS
In 10 patients with cyst extension near or into the intracranial cavity (7 with true intracranial extension), the nasal osteotomy technique was performed. The mean blood loss was 13 ml, with a 0% transfusion rate. The mean length of inpatient stay was 1 day. A durotomy was made and repaired as part of the dermoid cyst dissection in 3 patients. One patient underwent intraoperative placement of a lumbar drain. The mean operative time was 228 minutes. There were no intraoperative or postoperative complications, including the need for a reoperation. No patients had any long-term complications, and no patients have had dermoid cyst recurrence. The appearance of the scar was acceptable in all cases.


CONCLUSIONS
The midline approach to nasal dermoid cysts with intracranial extension is safe and results in limited blood loss, short operative times, and short lengths of inpatient hospital stay. This is a viable technique for the treatment of this challenging pathology.",Rachel Skladman;Tord D Alden;Julia F Corcoran;Jeffrey C Rastatter
141,Andrew M Heitzer,"OBJECTIVE
High survival rates have led to an increased emphasis on the functional outcomes of children diagnosed with low-grade glioma. Most outcomes research has focused on risks associated with radiotherapy, but less is known about neuropsychological risks for patients treated with surgery alone. Here, the authors sought to examine the neuropsychological trajectories of children diagnosed with a low-grade glioma and monitored up to 6 years postsurgery. Secondarily, they explored demographic and clinical predictors of neuropsychological performance.


METHODS
The neuropsychological functioning of 32 patients (median age at diagnosis 10.0 years) was prospectively assessed annually for up to 6 years after surgery (median days from surgery at baseline = 72). Tumor location was predominately supratentorial (65.6%). A combination of performance-based and parent-reported measures was used to assess intelligence, memory, executive functioning, and fine motor control in all patients.


RESULTS
Binomial tests at the postoperative baseline revealed that the proportion of children falling below the average range (< 16th percentile) was significantly higher than the rate expected among healthy peers on measures of verbal memory, processing speed, executive functioning, and fine motor control (p < 0.05). Even so, linear mixed models indicated that neuropsychological functioning at the postoperative baseline did not significantly change over time for up to 6 years after surgery across all domains. A larger tumor size was associated with a slower reaction time (p < 0.01). A supratentorial tumor location and history of seizures were associated with more parent-reported executive difficulties (p < 0.01).


CONCLUSIONS
While radiotherapy is a known risk factor for neuropsychological deficits in pediatric brain tumor patients, findings in this study indicate that children treated for low-grade glioma with surgery alone (without radiotherapy or chemotherapy) remain susceptible to difficulties with memory, executive functioning, and motor functioning that persist over time. Over half of the children in the study sample required school support services to address neuropsychological weaknesses. Although low-grade glioma is often conceptualized as a benign tumor, children treated for this lesion require ongoing monitoring and intervention to address neuropsychological weaknesses resulting from the tumor itself as well as the surgery.",Kimberly Raghubar;M Douglas Ris;Charles G Minard;Marsha N Gragert;Heather H Stancel;Jessica Orobio;Judy Xue;William Whitehead;M Fatih Okcu;Murali Chintagumpala;Lisa S Kahalley
142,Kyle P O'Connor,"Anterior cervical discectomy and fusion (ACDF) is the most common surgical procedure utilized for degenerative diseases of the cervical spine. The authors present the case of a 64-year-old man who underwent an ACDF for degenerative changes causing cervical stenosis with myelopathy. The patient's symptoms consisted of pain and weakness of the bilateral upper extremities that slowly progressed over 1.5 years. During the procedure, the superior horn of the thyroid cartilage impeded proper retraction, preventing adequate visualization due to its prominent size. At this point, otorhinolaryngology was consulted, which allowed for safe resection of this portion of the thyroid cartilage while preserving nearby critical structures. With the frequent usage of this surgical approach for various etiologies, the importance of proper recognition and consultation is paramount. Encountering prominent thyroid cartilage resulting in surgical obstruction has not been described in the literature and this report represents a paradigm for the proper course of action.",Adam D Smitherman;Ali H Palejwala;Greg A Krempl;Michael D Martin
143,Ignacio J Barrenechea,"Surgery of the cervical spine under conscious sedation has been rarely reported in the literature. The main indications are the lack of neurophysiological monitoring and surgery in patients with high cardiovascular risk. To date, no reports of awake C1-2 instrumentation have been published in the English-language literature. The authors present the case of a 76-year-old patient with multiple myeloma and severe cardiomyopathy associated with primary amyloidosis who experienced severe myelopathy from a C2 pseudotumor associated with an odontoid fracture. Due to his high cardiovascular risk, the patient underwent C1 decompression and C1-2 instrumentation and fusion via an awake technique. To accomplish this task, the authors performed multilayered muscular infiltration of local anesthetics and avoided manipulating the C2 root by anchoring C1 with a rod-claw system. The procedure did not last longer than that of general anesthetic approaches, and no complaints were reported by the patient during surgery, which he described as an overall ""good experience."" The patient was discharged on the 7th postoperative day and resumed his previous work 3 months later. Performing surgery under local anesthesia and conscious sedation reduces the risk of perioperative cardiovascular and respiratory complications in these high-risk patients by avoiding the use of drugs with cardiodepressant effects and endotracheal intubation.",Luis Márquez;Héctor P Rojas;Marco Nicola;Carlos Dumont
144,Jonathan Shapey,"OBJECTIVE
Automatic segmentation of vestibular schwannomas (VSs) from MRI could significantly improve clinical workflow and assist in patient management. Accurate tumor segmentation and volumetric measurements provide the best indicators to detect subtle VS growth, but current techniques are labor intensive and dedicated software is not readily available within the clinical setting. The authors aim to develop a novel artificial intelligence (AI) framework to be embedded in the clinical routine for automatic delineation and volumetry of VS.


METHODS
Imaging data (contrast-enhanced T1-weighted [ceT1] and high-resolution T2-weighted [hrT2] MR images) from all patients meeting the study's inclusion/exclusion criteria who had a single sporadic VS treated with Gamma Knife stereotactic radiosurgery were used to create a model. The authors developed a novel AI framework based on a 2.5D convolutional neural network (CNN) to exploit the different in-plane and through-plane resolutions encountered in standard clinical imaging protocols. They used a computational attention module to enable the CNN to focus on the small VS target and propose a supervision on the attention map for more accurate segmentation. The manually segmented target tumor volume (also tested for interobserver variability) was used as the ground truth for training and evaluation of the CNN. We quantitatively measured the Dice score, average symmetric surface distance (ASSD), and relative volume error (RVE) of the automatic segmentation results in comparison to manual segmentations to assess the model's accuracy.


RESULTS
Imaging data from all eligible patients (n = 243) were randomly split into 3 nonoverlapping groups for training (n = 177), hyperparameter tuning (n = 20), and testing (n = 46). Dice, ASSD, and RVE scores were measured on the testing set for the respective input data types as follows: ceT1 93.43%, 0.203 mm, 6.96%; hrT2 88.25%, 0.416 mm, 9.77%; combined ceT1/hrT2 93.68%, 0.199 mm, 7.03%. Given a margin of 5% for the Dice score, the automated method was shown to achieve statistically equivalent performance in comparison to an annotator using ceT1 images alone (p = 4e-13) and combined ceT1/hrT2 images (p = 7e-18) as inputs.


CONCLUSIONS
The authors developed a robust AI framework for automatically delineating and calculating VS tumor volume and have achieved excellent results, equivalent to those achieved by an independent human annotator. This promising AI technology has the potential to improve the management of patients with VS and potentially other brain tumors.",Guotai Wang;Reuben Dorent;Alexis Dimitriadis;Wenqi Li;Ian Paddick;Neil Kitchen;Sotirios Bisdas;Shakeel R Saeed;Sebastien Ourselin;Robert Bradford;Tom Vercauteren
145,Shawyon Baygani,"OBJECTIVE
The purpose of this study is to determine if the preoperative Pediatric Quality of Life Inventory (PedsQL) score is predictive of short- and intermediate-term PedsQL outcomes following Chiari decompression surgery. The utility of preoperative patient-reported outcomes (PROs) in predicting pain, opioid consumption, and long-term PROs has been demonstrated in adult spine surgery. To the best of the authors' knowledge, however, there is currently no widely accepted tool to predict short-, intermediate-, or long-term outcomes after pediatric Chiari decompression surgery.


METHODS
A prospectively maintained database was retrospectively reviewed. Patients who had undergone first-time decompression for symptomatic Chiari malformation were identified and grouped according to their preoperative PedsQL scores: mild disability (score 80-100), moderate disability (score 60-79), and severe disability (score < 60). PedsQL scores at the 6-week, 3-month, and/or 6-month follow-ups were collected. Preoperative PedsQL subgroups were tested for an association with demographic and perioperative characteristics using one-way ANOVA or chi-square analysis. Preoperative PedsQL subgroups were tested for an association with improvements in short- and intermediate-term PedsQL scores using one-way ANOVA and a paired Wilcoxon signed-rank test controlling for statistically different demographic characteristics when appropriate.


RESULTS
A total of 87 patients were included in this analysis. According to their preoperative PedsQL scores, 28% of patients had mild disability, 40% had moderate disability, and 32% had severe disability. There was a significant difference in the prevalence of comorbidities (p = 0.009) and the presenting symptoms of headaches (p = 0.032) and myelopathy (p = 0.047) among the subgroups; however, in terms of other demographic or operative factors, there was no significant difference. Patients with greater preoperative disability demonstrated statistically significantly lower PedsQL scores at all postoperative time points, except in terms of the parent-reported PedsQL at 6 months after surgery (p = 0.195). Patients with severe disability demonstrated statistically significantly greater improvements (compared to preoperative scores) in PedsQL scores at all time points after surgery, except in terms of the 6-week and 6-month PROs and the 6-month parent-reported outcomes (p = 0.068, 0.483, and 0.076, respectively).


CONCLUSIONS
Patients with severe disability, as assessed by the PedsQL, had lower absolute PedsQL scores at all time points after surgery but greater improvement in short- and intermediate-term PROs. The authors conclude that the PedsQL is an efficient and accurate tool that can quickly assess patient disability in the preoperative period and predict both short- and intermediate-term surgical outcomes.",Kristin Zieles;Andrew Jea
146,Kubilay Aydin,"OBJECTIVE
The endovascular treatment of complex bifurcation aneurysms possessing a neck that incorporates multiple side branches remains a surgical challenge. Double-stent-assisted coiling techniques, such as those with stents in an X and Y configuration, enable the endovascular treatment of wide-necked complex intracranial bifurcation aneurysms. However, the intraluminal struts at the intersection point in X- and Y-stents are not amenable to endothelialization, which may lead to thromboembolic complications. Stenting in the T configuration is a relatively new double-stent coiling technique. T-stenting differs from X- or Y-stenting in that there are no overlapping or intersecting stent segments. Promising short-term results of T-stent-assisted coiling were recently reported. However, the long-term results have not yet been demonstrated. This retrospective study investigated the long-term angiographic and clinical results in patients with wide-necked complex intracranial bifurcation aneurysms treated with T-stent-assisted coiling.


METHODS
A retrospective review was performed to identify patients with wide-necked complex intracranial bifurcation aneurysms treated with T-stent-assisted coiling at 4 institutions. The technical success and the initial and follow-up clinical and angiographic outcomes were assessed. Aneurysm filling status was assessed according to the Raymond classification. Periprocedural and delayed complications were reviewed. The neurological status of the patients was evaluated using the modified Rankin Scale (mRS).


RESULTS
One hundred two aneurysms in 102 patients (54 females), whose mean age was 57.9 ± 13.0 years, were included in the study. T-stenting was performed successfully in all patients. Immediate postprocedural angiography revealed complete occlusion in 83.3% of patients. Periprocedural complications developed in 13.7%, resulting in permanent morbidity in 1.9% and death in 1%. Eighty patients (78.4%) had at least one follow-up DSA examination performed at 6 months or later following the endovascular procedure. The mean duration of angiographic follow-up was 30.0 ± 16.3 months. The last follow-up examinations showed complete occlusion in 90.0% of patients. During the follow-up period, only 1 patient (1.3%) required retreatment. Delayed thromboembolic complications were observed in 4 patients (3.9%) without permanent morbidity. The mRS scores of all patients at the last clinical follow-up were between 0 and 2.


CONCLUSIONS
The short-term angiographic findings showed that T-stent-assisted coiling is a feasible and effective endovascular method to treat wide-necked complex bifurcation aneurysms. The long-term angiographic follow-up results suggest that T-stent-assisted coiling provides a durable treatment for wide-necked complex bifurcation aneurysms with favorable clinical outcomes, demonstrating the long-term safety of T-stent-assisted coiling.",Christian Paul Stracke;Mehmet Barburoglu;Elif Yamac;Mynzhylky Berdikhojayev;Serra Sencer;René Chapot
